pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year
11 Com b,11 Com,2,1,Radial Velocity,2007
11 Com b,11 Com,2,1,Radial Velocity,2007
11 Com b,11 Com,2,1,Radial Velocity,2007
11 UMi b,11 UMi,1,1,Radial Velocity,2009
11 UMi b,11 UMi,1,1,Radial Velocity,2009
11 UMi b,11 UMi,1,1,Radial Velocity,2009
14 And b,14 And,1,1,Radial Velocity,2008
14 And b,14 And,1,1,Radial Velocity,2008
14 And b,14 And,1,1,Radial Velocity,2008
14 Her b,14 Her,1,2,Radial Velocity,2002
14 Her b,14 Her,1,2,Radial Velocity,2002
14 Her b,14 Her,1,2,Radial Velocity,2002
14 Her b,14 Her,1,2,Radial Velocity,2002
14 Her b,14 Her,1,2,Radial Velocity,2002
14 Her b,14 Her,1,2,Radial Velocity,2002
14 Her b,14 Her,1,2,Radial Velocity,2002
14 Her b,14 Her,1,2,Radial Velocity,2002
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
17 Sco b,17 Sco,1,1,Radial Velocity,2020
18 Del b,18 Del,2,1,Radial Velocity,2008
18 Del b,18 Del,2,1,Radial Velocity,2008
18 Del b,18 Del,2,1,Radial Velocity,2008
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008
24 Boo b,24 Boo,1,1,Radial Velocity,2018
24 Boo b,24 Boo,1,1,Radial Velocity,2018
24 Sex b,24 Sex,1,2,Radial Velocity,2010
24 Sex c,24 Sex,1,2,Radial Velocity,2010
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009
4 UMa b,4 UMa,1,1,Radial Velocity,2006
4 UMa b,4 UMa,1,1,Radial Velocity,2006
42 Dra b,42 Dra,2,1,Radial Velocity,2008
47 UMa b,47 UMa,1,3,Radial Velocity,1996
47 UMa b,47 UMa,1,3,Radial Velocity,1996
47 UMa b,47 UMa,1,3,Radial Velocity,1996
47 UMa b,47 UMa,1,3,Radial Velocity,1996
47 UMa b,47 UMa,1,3,Radial Velocity,1996
47 UMa c,47 UMa,1,3,Radial Velocity,2001
47 UMa c,47 UMa,1,3,Radial Velocity,2001
47 UMa c,47 UMa,1,3,Radial Velocity,2001
47 UMa d,47 UMa,1,3,Radial Velocity,2009
47 UMa d,47 UMa,1,3,Radial Velocity,2009
51 Eri b,51 Eri,3,1,Imaging,2015
51 Eri b,51 Eri,3,1,Imaging,2015
51 Eri b,51 Eri,3,1,Imaging,2015
51 Peg b,51 Peg,1,1,Radial Velocity,1995
51 Peg b,51 Peg,1,1,Radial Velocity,1995
51 Peg b,51 Peg,1,1,Radial Velocity,1995
51 Peg b,51 Peg,1,1,Radial Velocity,1995
51 Peg b,51 Peg,1,1,Radial Velocity,1995
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004
