DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
1.0,6.24145791,2.19e-05,-2.19e-05,134.88892,0.00297,-0.00297,0.029,0.409,-0.029,3.0998,0.0738,-0.0738,164.0,6.2,-6.2,1.6,0.26,-0.27,1111.0,360.09,155.25,-122.07,30.8,1.0,5810.0,79.0,-79.0,4.25,0.156,-0.104,1.259,0.207,-0.207,286.27176,43.59523,13.939,1,2
1.0,24.7543849,0.000137,-0.000137,140.20732,0.00446,-0.00446,0.709,0.023,-0.516,3.39,0.153,-0.153,593.0,38.0,-38.0,2.1,0.14,-0.2,491.0,13.7,3.92,-3.75,18.0,1.0,4852.0,144.0,-144.0,4.519,0.078,-0.052,0.804,0.056,-0.076,295.73535,42.576248,15.514,1,2
0.857,5.43103616,4.63e-05,-4.63e-05,134.41711,0.00648,-0.00648,0.816,0.157,-0.576,2.469,0.179,-0.179,66.8,6.7,-6.7,0.66,0.07,-0.07,873.0,137.1,54.14,-37.76,10.8,3.0,5374.0,160.0,-144.0,4.555,0.088,-0.064,0.721,0.082,-0.073,288.83136,47.551991,13.851,1,1
1.0,6.89226333,2.63e-05,-2.63e-05,132.4644,0.00283,-0.00283,0.061,0.387,-0.061,2.4921,0.0997,-0.0997,214.0,11.1,-11.1,2.13,0.34,-0.42,1156.0,422.14,176.38,-162.47,22.4,1.0,5862.0,79.0,-79.0,4.148,0.176,-0.095,1.463,0.233,-0.284,281.83145,42.298908,14.207,1,2
0.954,67.0930642,0.000179,-0.000179,146.57047,0.00209,-0.00209,0.822,0.044,-0.568,7.334,0.134,-0.134,1250.0,18.1,-18.1,3.51,0.48,-0.17,420.0,7.38,2.86,-1.26,73.7,2.0,5750.0,102.0,-125.0,4.538,0.026,-0.11,0.882,0.121,-0.043,295.55942,40.236271,13.595,1,2
1.0,19.03723442,7.38e-05,-7.38e-05,148.55057,0.00325,-0.00325,0.033,0.4,-0.033,3.3882,0.0924,-0.0924,401.0,18.5,-18.5,5.74,1.29,-0.93,1051.0,288.04,166.34,-97.18,25.3,1.0,5248.0,68.0,-73.0,3.523,0.117,-0.143,2.892,0.648,-0.471,291.42755,41.878159,14.898,1,1
1.0,7.18644594,1.93e-05,-1.93e-05,136.62345,0.00237,-0.00237,0.892,0.022,-0.644,1.4972,0.0637,-0.0637,402.0,20.4,-20.4,2.19,0.27,-0.13,860.0,129.48,43.19,-21.16,23.8,2.0,5463.0,82.0,-73.0,4.492,0.045,-0.098,0.91,0.11,-0.055,286.28473,44.781551,14.866,1,2
1.0,18.0161227,0.000109,-0.000109,145.24169,0.00614,-0.00614,0.023,0.429,-0.023,4.016,0.178,-0.178,500.0,34.9,-34.9,2.39,0.76,-0.33,768.0,82.38,77.53,-29.08,16.7,1.0,6245.0,175.0,-219.0,4.406,0.072,-0.217,1.065,0.339,-0.145,292.86984,46.741859,15.394,1,2
0.0,0.594274521,4.21e-07,-4.21e-07,131.839508,0.000598,-0.000598,0.833,0.06,-0.518,2.162,0.14,-0.14,4690.0,69.0,-69.0,8.7,2.59,-0.86,2436.0,8367.99,7342.71,-2552.62,83.9,1.0,6321.0,174.0,-239.0,4.417,0.06,-0.192,1.125,0.335,-0.112,291.49051,39.04866,15.676,0,0
0.0,4.0551242,0.000364,-0.000364,134.6871,0.0781,-0.0781,0.008,0.475,-0.008,12.0,2.4,-2.4,149.0,17.4,-17.4,3.13,0.5,-0.75,2013.0,3887.31,1566.26,-1759.39,9.3,1.0,7064.0,74.0,-95.0,3.888,0.182,-0.098,2.531,0.405,-0.607,295.95383,49.374859,13.397,0,0
